optimalApplicationsOrder : 	1	2	5	3	7	4	8	9	6	10	
Phase : 0 :	5	5	3	3	3	3	3	3	3	3	3	3	6	6	6	6	6	6	6	6	
Phase : 1 :	5	5	5	7	7	7	7	7	7	7	7	7	7	7	7	9	9	9	9	9	
Phase : 2 :	5	5	5	5	4	4	4	4	4	4	4	4	4	8	8	8	8	8	8	8	
Phase : 3 :	5	5	5	5	5	4	4	4	4	4	4	9	9	9	9	9	9	-1	-1	-1	
Phase : 4 :	5	5	5	5	5	5	5	5	5	5	5	5	8	8	8	8	8	8	8	-1	
Phase : 5 :	3	3	3	3	3	3	3	3	3	3	9	9	9	9	9	9	9	-1	-1	-1	
Phase : 6 :	2	2	2	2	2	2	2	2	2	2	2	2	8	8	8	8	8	8	8	8	
Phase : 7 :	9	9	9	9	9	9	9	9	6	6	6	6	6	6	6	6	6	6	6	6	
Phase : 8 :	3	3	3	3	3	3	3	3	3	3	3	3	6	6	6	6	6	6	6	-1	
Phase : 9 :	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-1	-1	-1	-1	-1	
Phase : 10 :	5	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	
Phase : 11 :	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	-1	-1	-1	-1	-1	
Phase : 12 :	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	-1	-1	-1	-1	-1	
Phase : 13 :	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	-1	-1	
Phase : 14 :	7	7	7	10	10	10	10	10	10	10	10	10	10	10	10	-1	-1	-1	-1	-1	
Phase : 15 :	7	7	7	7	7	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
Phase : 16 :	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	-1	
Phase : 17 :	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	-1	-1	
Phase : 18 :	2	2	2	2	2	2	2	2	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	
Phase : 19 :	10	10	10	10	10	10	10	10	10	10	10	10	-1	-1	-1	-1	-1	-1	-1	-1	
Phase : 20 :	5	5	5	5	5	5	5	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
